#Column Seq	(I3)		[1,172] Planet running identification number	[meta.id;meta.main]
#Column Name	(A)		Star system name	[meta.id]
#Column Pl	(A)		[bcde] Planetary component	[meta.code.multip]
#Column n_Pl	(A)		Note about orbital elements of planet (1)	[meta.note]
#Column Per	(F13.8)		Period	[time.period]
#Column e_Per	(F13.8)		? Uncertainty in Per	[stat.error]
#Column n_Per	(A)		Note about the Period (1)	[meta.note]
#Column K	(F7.2)		? Stellar reflex motion semi-amplitude	[phys.size;src.orbital]
#Column e_K	(F5.2)		? Uncertainty in K	[stat.error]
#Column n_K	(A)		Note about K (1)	[meta.note]
#Column e	(F7.4)		Eccentricity of exoplanet	[src.orbital.eccentricity]
#Column e_e	(F7.4)		? Uncertainty in e	[stat.error]
#Column n_e	(A2)		Note about e (1)	[meta.note]
#Column omega	(F6.2)		? Planet's longitude of periastron	[src.orbital.periastron]
#Column e_omega	(F6.2)		? Uncertainty in omega	[stat.error]
#Column n_omega	(A)		Note about omega (1)	[meta.note]
#Column Tp-2440000	(F11.5)		? Julian Date of periastron passage (JD-2440000)	[src.orbital.periastron]
#Column n_Tp-2440000	(A)		Note about Tp-2440000 (1)	[meta.note]
#Column e_Tp-2440000	(F9.5)		? Uncertainty in Tp-2440000	[stat.error]
#Column Tt-2440000	(F11.5)		? Julian Date of transit mid-time (JD-2440000) (3)	[time.epoch]
#Column n_Tt-2440000	(A)		Note about Tt-2440000 (1)	[meta.note]
#Column e_Tt-2440000	(F9.5)		? Uncertainty in Tt-2440000	[stat.error]
#Column Trend	(F6.2)		? Magnitude of a linear trend (4)	[stat.fit.param]
#Column e_Trend	(F5.2)		? Uncertainty in Trend	[stat.error]
#Column Msini	(F7.4)		? Minimum mass in Jupiter masses (see text)	[phys.mass]
#Column e_Msini	(F7.4)		? Uncertainty in Msini	[stat.error]
#Column n_Msini	(A)		Note about Msini (1)	[meta.note]
#Column Rad	(F7.4)		Planet's orbital radius (see text)	[phys.angSize.smajAxis;src.orbital]
#Column e_Rad	(F7.4)		? Uncertainty in Rad	[stat.error]
#Column n_Rad	(A)		Note about Rad (1)	[meta.note]
#Column rms	(F6.2)		? Fit quality as the rms. of the residuals	[stat.fit.residual;stat.fit.param;meta.modelled]
#Column chi2	(F5.2)		? Square root of the reduced {chi}^2^	[stat.fit.chi2]
#Column l_Nobs	(A)		Limit flag on Nobs	[meta.code.error]
#Column Nobs	(I3)		? Number of observations [NULL integer written as an empty string]	[meta.number]
#Column Ref	(A)		Orbital elements reference(s), in refs.dat file (5)	[meta.ref]
#Column RV	(A)		{\bf C} indicates a RV curve	[meta.ref.url]
Seq,Name,Pl,n_Pl,Per,e_Per,n_Per,K,e_K,n_K,e,e_e,n_e,omega,e_omega,n_omega,Tp-2440000,n_Tp-2440000,e_Tp-2440000,Tt-2440000,n_Tt-2440000,e_Tt-2440000,Trend,e_Trend,Msini,e_Msini,n_Msini,Rad,e_Rad,n_Rad,rms,chi2,l_Nobs,Nobs,Ref,RV
,,,,d,d,,m/s,m/s,,,,,deg,deg,,d,,d,d,,d,m/s/yr,m/s/yr,jovMass,jovMass,,AU,AU,,m/s,,,,,
1,HD 142,b,,350.3,3.6,,33.9,4.7,,0.26,0.18,b,303.0,,b,11963.0,,43.0,11737.0,,25.0,-10.4,1.1,1.31,0.18,,1.045,0.061,,12.0,1.5,,53,Bu6,C
2,HD 1237,b,,133.71,0.2,,167.0,4.0,,0.511,0.017,,290.7,3.0,,11545.86,,0.64,,,,,,3.37,0.49,,0.495,0.029,,19.0,1.8,,61,Nf1,
3,HD 2039,b,,1120.0,23.0,,153.0,22.0,,0.715,0.046,,344.1,3.6,,12041.0,,13.0,10992.0,,26.0,3.5,1.5,6.11,0.82,,2.23,0.13,,11.0,0.84,,41,Bu6,C
4,HD 2638,b,,3.4442,2.0E-4,,67.4,0.4,,0.0,,c,0.0,,c,13323.206,,0.002,,,,,,0.477,0.068,,0.0436,0.0025,,3.3,,,28,Mo5,
5,54 Psc,b,,62.206,0.021,,16.0,1.2,,0.618,0.051,,233.3,7.4,,12189.83,,0.68,12176.3,,1.9,,,0.227,0.023,,0.296,0.017,,6.6,1.3,,163,Bu6,C
6,HD 4208,b,,828.0,8.1,,19.06,0.73,,0.052,0.04,b,345.0,,b,11040.0,,120.0,10440.0,,16.0,,,0.804,0.073,,1.65,0.096,,3.4,0.72,,41,Bu6,C
7,HD 4308,b,,15.56,0.02,,4.07,0.2,,0.0,0.01,,359.0,47.0,,13311.7,,2.0,,,,,,0.0467,0.007,,0.1179,0.0068,,1.3,1.4,,41,U5,
8,HD 4203,b,,431.88,0.85,,60.3,2.2,,0.519,0.027,,329.1,3.1,,11918.9,,2.7,11558.7,,7.2,-4.38,0.71,2.07,0.18,,1.164,0.067,,4.1,0.8,,23,Bu6,C
9,HD 6434,b,,21.998,0.009,,34.2,1.1,,0.17,0.03,,156.0,11.0,,11490.8,,0.6,,,,,,0.397,0.059,,0.1421,0.0082,,11.0,,,130,My4,
10,HD 8574,b,,225.0,1.1,,64.1,5.5,,0.37,0.082,,2.0,16.0,,11475.6,,5.5,11504.8,,7.3,,,1.96,0.22,,0.759,0.044,,23.0,1.6,,26,Bu6 , Pr3,C
11,upsilon And,b,,4.617113,8.2E-5,,69.8,1.5,,0.023,0.018,b,63.0,,b,11802.64,,0.71,11802.966,,0.033,,,0.687,0.058,,0.0595,0.0034,,13.0,1.4,,268,Bu6 , Nf4,C
12,upsilon And,c,,241.23,0.3,,55.6,1.7,,0.262,0.021,,245.5,5.3,,10158.1,,4.5,10063.9,,3.8,,,1.98,0.17,,0.832,0.048,,13.0,1.4,,268,Bu6 , Nf4,C
13,upsilon And,d,,1290.1,8.4,,63.4,1.5,,0.258,0.032,,279.0,10.0,,8827.0,,30.0,8127.0,,39.0,,,3.95,0.33,,2.54,0.15,,13.0,1.4,,268,Bu6 , Nf4,C
14,HD 10647,b,,1003.0,56.0,,17.9,4.6,,0.16,0.22,b,336.0,,b,10960.0,,160.0,10221.0,,83.0,,,0.93,0.18,,2.03,0.15,,9.4,1.4,,28,Bu6 , My3,C
15,109 Psc,b,,1076.4,2.4,,115.0,1.5,,0.1023,0.0096,,108.9,8.2,,10396.0,,29.0,10350.4,,5.6,,,6.38,0.53,,2.16,0.12,,6.8,1.4,,59,Bu6,C
16,HD 11977,b,,711.0,8.0,,105.0,8.0,,0.4,0.07,,351.5,9.5,,11420.0,,,,,,,,6.5,1.2,,1.94,0.11,,29.0,,,,Sw5,
